dataset,seed,method,k,train,test
CUB-200,1,Simple,200,0.920754087420754,0.8878149810148429
CUB-200,1,Simple,300,0.9235902569235902,0.8888505350362443
CUB-200,1,Simple,500,0.9217550884217551,0.8900586813945461
CUB-200,1,Simple,700,0.9180847514180848,0.8924749741111495
CUB-200,1,Simple,900,0.9169169169169169,0.8935105281325509
CUB-200,1,Simple,1000,0.9154154154154154,0.8910942354159476
CUB-200,1,FAIR,50,0.923923923923924,0.8626164998274076
CUB-200,1,FAIR,100,0.9265932599265932,0.8774594408008285
CUB-200,1,FAIR,200,0.9264264264264265,0.8843631342768381
CUB-200,1,FAIR,300,0.9247580914247581,0.887124611667242
CUB-200,1,FAIR,500,0.9204204204204204,0.8910942354159476
CUB-200,1,FAIR,700,0.9170837504170838,0.8904038660683465
CUB-200,1,FAIR,900,0.9155822489155823,0.8919571971004487
CUB-200,1,FAIR,1000,0.9162495829162496,0.8905764584052468
CUB-200,1,MSDA,50,0.8858858858858859,0.8524335519502934
CUB-200,1,MSDA,100,0.9075742409075742,0.8779772178115292
CUB-200,1,MSDA,200,0.9115782449115782,0.8888505350362443
CUB-200,1,MSDA,300,0.9155822489155823,0.8898860890576459
CUB-200,1,MSDA,500,0.9159159159159159,0.8933379357956507
CUB-200,1,MSDA,700,0.9159159159159159,0.892129789437349
CUB-200,1,MSDA,900,0.914914914914915,0.8912668277528478
CUB-200,1,MSDA,1000,0.9147480814147481,0.8912668277528478
CUB-200,1,Optimized,50,0.948948948948949,0.8936831204694512
CUB-200,1,Optimized,100,0.9482816149482817,0.8986882982395582
CUB-200,1,Optimized,200,0.9447781114447781,0.9024853296513635
CUB-200,1,Optimized,300,0.9412746079412746,0.9038660683465655
CUB-200,1,Optimized,500,0.934934934934935,0.9017949603037625
CUB-200,1,Optimized,700,0.9312645979312646,0.8997238522609596
CUB-200,1,Optimized,900,0.923923923923924,0.8950638591646531
CUB-200,1,Optimized,1000,0.9187520854187521,0.8919571971004487
CUB-200,2,Simple,50,0.8995662328995663,0.855712806351398
CUB-200,2,Simple,100,0.9140807474140807,0.8731446323783224
CUB-200,2,Simple,200,0.9215882549215882,0.8859164653089403
CUB-200,2,Simple,300,0.9234234234234234,0.8912668277528478
CUB-200,2,Simple,500,0.9195862529195863,0.892129789437349
CUB-200,2,Simple,700,0.915749082415749,0.8928201587849499
CUB-200,2,Simple,900,0.9152485819152486,0.8923023817742493
CUB-200,2,Simple,1000,0.9159159159159159,0.890749050742147
CUB-200,2,FAIR,50,0.9229229229229229,0.8629616845012081
CUB-200,2,FAIR,100,0.9277610944277611,0.8778046254746289
CUB-200,2,FAIR,200,0.9255922589255923,0.8874697963410425
CUB-200,2,FAIR,300,0.924924924924925,0.8883327580255437
CUB-200,2,FAIR,500,0.9192525859192526,0.8928201587849499
CUB-200,2,FAIR,700,0.9172505839172506,0.8926475664480497
CUB-200,2,FAIR,900,0.9154154154154154,0.8893683120469451
CUB-200,2,FAIR,1000,0.9144144144144144,0.8895409043838454
CUB-200,2,MSDA,50,0.8855522188855522,0.8598550224370038
CUB-200,2,MSDA,100,0.908908908908909,0.8781498101484294
CUB-200,2,MSDA,200,0.9159159159159159,0.8869520193303417
CUB-200,2,MSDA,300,0.9137470804137471,0.8905764584052468
CUB-200,2,MSDA,500,0.9174174174174174,0.8931653434587504
CUB-200,2,MSDA,700,0.9144144144144144,0.8916120124266482
